DATE,mytmp,mymois
2020-01-01,-1.0125,0.0002162039055316648
2020-01-02,0.48749999999999993,0.0005607411674559424
2020-01-03,0.9124999999999999,0.0006562581904570297
2020-01-04,-0.6875000000000001,0.00010030981523369859
2020-01-05,0.3999999999999999,0.00012553320647541196
2020-01-06,-0.9249999999999999,2.4734200221815504e-05
2020-01-07,-1.3375,3.9152910581806064e-05
2020-01-08,0.4625,0.00015896882745814026
2020-01-09,0.7250000000000001,0.0003541870144096875
2020-01-10,0.9374999999999999,0.00020737055317399325
2020-01-11,-0.5833333333333334,0.00031403490423335365
2020-01-12,-1.9875000000000005,8.028853587393179e-05
2020-01-13,1.542857142857143,0.000696950856470383
2020-01-14,0.375,7.446604141571464e-05
2020-01-15,2.0125,0.00030969046450138077
2020-01-16,2.9375000000000004,0.0012546018944972833
2020-01-17,3.3000000000000003,0.0015573169071715176
2020-01-18,0.9249999999999999,0.00026235218972275474
2020-01-19,-0.23749999999999993,0.0001675933957807846
2020-01-20,1.9125,0.000577410192235744
2020-01-21,2.475,0.0015668886043442261
2020-01-22,0.2625,7.574491439513261e-05
2020-01-23,-4.15,1.6374987520872015e-06
2020-01-24,-1.525,0.0003602681171234771
2020-01-25,1.0875000000000001,0.0005596071554318608
2020-01-26,-0.45000000000000007,0.00013551195039351692
2020-01-27,-1.0375,0.00026722842158411294
2020-01-28,-4.4875,1.2455554938387098e-05
2020-01-29,0.25,0.0004192507266319225
2020-01-30,-0.3375,0.00024394352116908227
2020-01-31,0.06250000000000004,0.00024902740925452347
2020-02-01,-0.10000000000000006,0.00020516816831548024
2020-02-02,0.725,0.0007473037285808915
2020-02-03,1.5749999999999997,0.0008606045298923683
2020-02-04,-1.4714285714285715,2.5053097283421735e-06
2020-02-05,-4.800000000000001,2.2637329817728813e-07
2020-02-06,-4.9750000000000005,4.04083559725551e-06
2020-02-07,-9.325,1.2450686688561141e-11
2020-02-08,-10.925,4.162901072692302e-11
2020-02-09,-3.0749999999999997,8.557903156925105e-06
2020-02-10,-0.26249999999999996,1.0706520532079102e-05
2020-02-11,0.05000000000000002,0.0002726474357818595
2020-02-12,0.1375,0.0002722865821607166
2020-02-13,-2.05,1.418575878975444e-05
2020-02-14,-0.024999999999999994,0.0002338715033327596
2020-02-15,-1.1375000000000002,4.3581814940130435e-05
2020-02-16,0.625,8.458241782509016e-05
2020-02-17,3.95,0.000390032330462812
2020-02-18,4.825,0.0016675275379561035
2020-02-19,3.375,0.0008471525115232671
2020-02-20,3.1750000000000003,0.0003085054818163976
2020-02-21,2.5625,0.00018400937978196597
2020-02-22,2.7625,0.00012323965791599987
2020-02-23,1.5375,0.0004944795953304704
2020-02-24,2.3249999999999997,0.000228005882360492
2020-02-25,-0.3125000000000001,1.2248146126868498e-05
2020-02-26,-0.17500000000000013,0.00048362780980158444
2020-02-27,1.5875,0.0015951892144944592
2020-02-28,1.1125,0.00011705008735977156
2020-02-29,-0.675,2.930870634157455e-05
2020-03-01,2.3375,9.91135875176163e-05
2020-03-02,3.4375,0.001756290528292
2020-03-03,3.4875,0.0020593569099053924
2020-03-04,4.5375,0.0044687816457625075
2020-03-05,4.5625,0.002537145988470678
2020-03-06,5.1125,0.002776129284186768
2020-03-07,7.5625,0.009946114780712254
2020-03-08,5.9375,0.013369515444194636
2020-03-09,7.112499999999999,0.003250957488437926
2020-03-10,5.85,0.011457146296409251
2020-03-11,6.3500000000000005,0.012300246615630563
2020-03-12,6.2875,0.0027074967528332816
2020-03-13,4.3428571428571425,0.0016260590360713538
2020-03-14,0.82,0.0002807503801345433
2020-03-15,-4.5,1.2110891319036783e-07
2020-03-16,0.47500000000000026,8.883206943712892e-08
2020-03-17,4.5125,1.658805715955306e-05
2020-03-18,6.7250000000000005,0.00029115963145822114
2020-03-19,7.7875000000000005,0.001217404799504045
2020-03-20,3.3625,0.00018277422797395094
2020-03-21,-1.0625,2.4561412262641462e-05
2020-03-22,-2.6875,3.443557748769843e-11
2020-03-23,-2.05,7.771392439893065e-10
2020-03-24,-0.7125000000000001,5.724398298509875e-10
2020-03-25,4.6000000000000005,1.535668587107279e-09
2020-03-26,7.387499999999999,4.318918337555202e-08
2020-03-27,8.3,5.616190755264501e-05
2020-03-28,10.025,0.00030718339567763946
2020-03-29,10.225,0.00026201580173072146
2020-03-30,-0.7749999999999999,6.43891394997701e-05
2020-03-31,-3.6625,9.41884064145497e-07
2020-04-01,-0.6125000000000002,4.7820061526198917e-05
2020-04-02,3.2250000000000005,0.0005047219775998823
2020-04-03,7.174999999999999,0.00021584597893329713
2020-04-04,4.249999999999999,0.00018891783639668144
2020-04-05,2.0714285714285716,1.0461290290895053e-05
2020-04-06,2.797142857142857,0.0012622718113774309
2020-04-07,3.522857142857143,0.0025140823324639665
2020-04-08,4.248571428571429,0.0037658928535505023
2020-04-09,4.974285714285715,0.0050177033746370385
2020-04-10,5.7,0.006269513895723574
2020-04-11,2.8,8.10004538170791e-05
2020-04-12,6.2,3.3504753729862226e-09
2020-04-13,6.253333333333334,4.505239731919734e-06
2020-04-14,6.306666666666667,9.00712898846648e-06
2020-04-15,6.36,1.3509018245013228e-05
2020-04-16,6.413333333333333,1.8010907501559975e-05
2020-04-17,6.466666666666667,2.251279675810672e-05
2020-04-18,6.5200000000000005,2.701468601465347e-05
2020-04-19,6.573333333333333,3.151657527120022e-05
2020-04-20,6.626666666666667,3.601846452774696e-05
2020-04-21,6.68,4.052035378429371e-05
2020-04-22,6.733333333333333,4.5022243040840454e-05
2020-04-23,6.786666666666667,4.9524132297387206e-05
