DATE,mytmp,mymois
2020-01-01,26.062499999999996,1.6570383932286246
2020-01-02,25.937499999999996,1.4413997928052789
2020-01-03,25.737499999999997,1.1914407838758134
2020-01-04,26.049999999999997,1.1249648702280328
2020-01-05,26.8,1.5328842147548227
2020-01-06,26.575,1.7155509363991301
2020-01-07,26.474999999999998,1.3432672302408029
2020-01-08,27.2125,1.2332737966075664
2020-01-09,27.3375,1.3703439208934824
2020-01-10,27.5625,1.7038441813584602
2020-01-11,26.428571428571423,2.2564464376168263
2020-01-12,24.724999999999998,0.9470841230777272
2020-01-13,24.6375,0.7844799456257527
2020-01-14,25.675,1.4401013938993588
2020-01-15,25.187499999999996,2.0674647306876266
2020-01-16,24.3625,2.2640417559204864
2020-01-17,24.537499999999994,1.9972023579964613
2020-01-18,24.925,2.560088181221059
2020-01-19,27.249999999999996,3.2032293992126295
2020-01-20,27.85,3.5312439165015452
2020-01-21,28.062499999999996,2.465814684604013
2020-01-22,29.025,3.655671896566753
2020-01-23,27.5,3.365746649056276
2020-01-24,28.150000000000002,3.315264870608073
2020-01-25,27.0125,2.533353680757031
2020-01-26,26.162499999999998,2.038471370758897
2020-01-27,26.724999999999998,2.009300724697015
2020-01-28,27.65,2.4354338421858275
2020-01-29,28.3375,2.4514750319828558
2020-01-30,26.812499999999996,1.9144396513452455
2020-01-31,26.687499999999993,1.9739617727605898
2020-02-01,27.124999999999996,1.798381103736379
2020-02-02,28.2625,2.170610670836022
2020-02-03,28.387499999999996,2.72304154273691
2020-02-04,23.3,1.1651827276032083
2020-02-05,22.249999999999996,1.24124455157205
2020-02-06,22.525,2.1587973893627495
2020-02-07,25.237499999999997,2.2908948440203605
2020-02-08,24.825,2.6903094370408636
2020-02-09,24.325,2.6672324104758816
2020-02-10,25.124999999999996,2.7115759642207373
2020-02-11,25.887500000000003,3.1583004410190694
2020-02-12,23.537499999999998,2.574190732098595
2020-02-13,23.5375,2.3770093011198776
2020-02-14,26.5125,2.248609527113775
2020-02-15,27.437499999999996,3.256983208340483
2020-02-16,27.262499999999996,2.4556246706807925
2020-02-17,26.924999999999997,2.1643267988540944
2020-02-18,28.287499999999994,2.816713158820999
2020-02-19,27.4,2.0665251182330793
2020-02-20,26.974999999999998,1.4637861835785286
2020-02-21,26.175,1.266789040964981
2020-02-22,24.349999999999998,1.123136472340184
2020-02-23,23.025000000000002,1.3297604857827745
2020-02-24,24.0625,1.7343260656966595
2020-02-25,25.15,1.7910561607266948
2020-02-26,27.174999999999997,2.7405310289631157
2020-02-27,24.275,2.0507141430610663
2020-02-28,26.812499999999996,2.112631896041044
2020-02-29,25.5125,1.4771140160979126
2020-03-01,25.749999999999996,1.6474508186955872
2020-03-02,27.499999999999996,1.8711610007834365
2020-03-03,27.099999999999998,1.8966847696707017
2020-03-04,26.537499999999998,1.777142600105373
2020-03-05,27.224999999999998,1.9937953449637835
2020-03-06,27.0625,3.244055029571164
2020-03-07,25.825,1.290681238466693
2020-03-08,24.362499999999997,1.0519942394551602
2020-03-09,20.162499999999998,1.2712830434382552
2020-03-10,21.349999999999998,1.0664261022803265
2020-03-11,22.825000000000003,0.4608517187846587
2020-03-12,20.225,0.9316950753340776
2020-03-13,21.987499999999997,0.5429739685558749
2020-03-14,22.7125,0.46308046092784383
2020-03-15,22.675,0.39677170041498433
2020-03-16,22.287499999999998,0.2683910634482326
2020-03-17,22.025000000000002,0.3228980919189517
2020-03-18,22.3875,0.46783005085796847
2020-03-19,21.974999999999998,0.6207446316145006
2020-03-20,23.912499999999998,0.9127084254843663
2020-03-21,25.9375,1.2824565792019786
2020-03-22,25.5875,1.7469114818806661
2020-03-23,24.0625,1.167496629360615
2020-03-24,22.275,0.9147055520412495
2020-03-25,21.924999999999997,0.6490107272175009
2020-03-26,23.4625,0.7860891028130811
2020-03-27,21.574999999999996,0.6195375567509728
2020-03-28,22.8125,1.093772343545118
2020-03-29,22.824999999999996,1.2498244343480627
2020-03-30,24.274999999999995,1.2839888349000599
2020-03-31,24.699999999999996,1.3633459911845707
2020-04-01,24.0875,1.0256329335944712
2020-04-02,24.187499999999996,1.550651476364123
2020-04-03,25.675,1.6759166208042364
2020-04-04,24.4625,1.4404306069295416
2020-04-05,22.1375,0.4785807511950362
2020-04-06,22.5125,0.5537672237866325
2020-04-07,23.1875,0.5571925115426363
2020-04-08,23.17142857142857,0.6243174942818248
2020-04-09,22.325,0.8170866109541064
2020-04-10,22.187499999999996,1.186058980592747
2020-04-11,24.674999999999997,0.195819306005571
2020-04-12,20.275,0.18200330782473728
2020-04-13,20.5375,0.39698091362022087
2020-04-14,21.099999999999998,0.5146281596834784
2020-04-15,21.2125,0.593698801702745
2020-04-16,22.612499999999997,0.799325798756729
2020-04-17,25.8375,1.140274596127268
2020-04-18,19.95,0.43649716795893545
2020-04-19,19.25,0.4118204539465105
2020-04-20,21.0,0.18141935480531485
2020-04-21,22.5625,0.5479165618901374
2020-04-22,22.662499999999998,0.5762883359953301
2020-04-23,21.487499999999997,0.5796433338604483
2020-04-24,22.457142857142856,0.7714146506490741
2020-04-25,21.15,0.5465939208923759
2020-04-26,21.874999999999996,0.6107935163849816
2020-04-27,22.5875,0.7429039291167499
2020-04-28,21.162499999999998,0.8416168443552374
2020-04-29,20.874999999999996,0.6047752174634319
2020-04-30,20.9375,0.7068062985728673
2020-05-01,16.725,0.004811582909907171
2020-05-02,18.2625,0.016097112626002698
2020-05-03,17.2625,0.010348227518914102
2020-05-04,18.537499999999998,0.0927958695756409
2020-05-05,19.125,0.19054700314028655
