DATE,mytmp,mymois
2020-01-01,11.957142857142857,0.0021629288395577585
2020-01-02,12.7,0.0010775556724189883
2020-01-03,11.4,0.007837143140679908
2020-01-04,12.485714285714284,0.004577061057346662
2020-01-05,10.78,0.0012700314939101361
2020-01-06,7.4333333333333345,0.0015132088474131167
2020-01-07,12.875,0.004129905157936684
2020-01-08,11.200000000000001,0.003566651739445503
2020-01-09,13.420000000000002,0.003495820907183818
2020-01-10,10.2,0.0020574717148931472
2020-01-11,13.300000000000002,0.005752810882045857
2020-01-12,13.733333333333334,0.003692806706477566
2020-01-13,15.24,0.006548148565152542
2020-01-14,16.433333333333334,0.0028296509982409326
2020-01-15,19.2,0.03272465228610924
2020-01-16,17.04285714285714,0.0306395279582176
2020-01-17,14.0,0.03223939694297439
2020-01-18,13.725000000000001,0.016093310964124606
2020-01-19,13.442857142857141,0.011532658438346234
2020-01-20,14.271428571428572,0.005533193918018617
2020-01-21,12.9,0.0049935812451250864
2020-01-22,13.342857142857142,0.0031695373775506575
2020-01-23,14.0,0.005575382763965308
2020-01-24,13.0,0.005851954137955311
2020-01-25,13.9,0.0016695293341227983
2020-01-26,14.714285714285714,0.0014552670599270055
2020-01-27,13.3,0.0020284050680362043
2020-01-28,14.299999999999999,0.001311828770663825
2020-01-29,12.457142857142857,0.007998764458828782
2020-01-30,13.4125,0.01117255150426302
2020-01-31,15.183333333333332,0.004200931317271253
2020-02-01,14.987499999999999,0.010106970708554515
2020-02-02,14.314285714285713,0.006164734673680542
2020-02-03,14.9,0.005287895178534974
2020-02-04,13.799999999999999,0.025134442066283486
2020-02-05,15.442857142857145,0.04264441739540235
2020-02-06,19.400000000000002,0.02135117560104099
2020-02-07,15.266666666666666,0.005985820870245178
2020-02-08,12.428571428571427,0.0028709239769212076
2020-02-09,12.799999999999999,0.004639404115224782
2020-02-10,12.1,0.0033362943432454365
2020-02-11,12.75,0.005034675482266903
2020-02-12,18.06,0.01019426830045459
2020-02-13,18.52857142857143,0.011826121642761216
2020-02-14,18.833333333333332,0.010284798162757349
2020-02-15,18.9875,0.026543752584581005
2020-02-16,17.15,0.01468491907398098
2020-02-17,16.025,0.05348765887601958
2020-02-18,15.928571428571429,0.04364438531727854
2020-02-19,15.8875,0.020120893515092508
2020-02-20,15.142857142857142,0.009680185553616827
2020-02-21,15.725,0.00669715531320753
2020-02-22,16.1,0.006510997712296993
2020-02-23,15.075000000000001,0.005432297746703602
2020-02-24,13.77142857142857,0.005675687558542674
2020-02-25,13.725,0.012981540874956147
2020-02-26,15.074999999999998,0.014205627979848302
2020-02-27,18.6625,0.018638564625818067
2020-02-28,18.683333333333334,0.003896493679540255
2020-02-29,20.133333333333333,0.029314197437139713
2020-03-01,18.057142857142853,0.010917275469754973
2020-03-02,16.857142857142858,0.007362538499831068
2020-03-03,18.687499999999996,0.005991037948060139
2020-03-04,20.424999999999997,0.0028724173549566556
2020-03-05,23.928571428571427,0.0019058518089794423
2020-03-06,18.266666666666666,0.0023590364412663448
2020-03-07,18.675,0.017221798488071375
2020-03-08,20.875,0.016604597126970606
2020-03-09,22.974999999999998,0.01295596094942222
2020-03-10,22.6,0.017397327964568384
2020-03-11,22.62857142857143,0.024216528048141766
2020-03-12,23.299999999999997,0.019637069302182546
2020-03-13,17.42,0.013612303690091154
2020-03-14,21.32,0.018236413729829773
2020-03-15,19.428571428571427,0.0820494459283126
2020-03-16,22.025,0.04707933217428811
2020-03-17,21.057142857142857,0.023917821375154493
2020-03-18,17.462500000000002,0.004882907262903417
2020-03-19,18.099999999999998,0.0045533980665658875
2020-03-20,17.685714285714287,0.0014297853396277205
2020-03-21,16.857142857142858,0.0012677483861379467
2020-03-22,17.8,0.0016465270106174239
2020-03-23,23.625,0.0022234537802940015
2020-03-24,26.0,0.012011889555014562
2020-03-25,23.474999999999998,0.023078694858789016
2020-03-26,26.287499999999998,0.01881155304607463
2020-03-27,26.366666666666664,0.006218148367221395
2020-03-28,21.528571428571432,0.02956557303858018
2020-03-29,21.485714285714288,0.0029001403228391424
2020-03-30,22.1,0.003969410161150201
2020-03-31,28.433333333333334,0.0038840174754348825
2020-04-01,22.775,0.014429728634654092
2020-04-02,22.1,0.009407299196838142
2020-04-03,22.96666666666667,0.05114540468794452
2020-04-04,26.55,0.015421972489812773
2020-04-05,27.4,0.011719618042565407
2020-04-06,26.842857142857138,0.019186844521557684
2020-04-07,24.4625,0.028033327474335394
2020-04-08,22.12857142857143,0.004368101423220837
2020-04-09,21.242857142857144,0.007541545464169522
2020-04-10,20.24,0.008759329827297501
2020-04-11,20.7625,0.005124790482104253
2020-04-12,22.257142857142856,0.0025164592154806385
2020-04-13,22.437499999999996,0.004194277732549164
2020-04-14,23.766666666666666,0.00315587169374216
2020-04-15,23.6,0.008111071964587538
2020-04-16,28.985714285714288,0.003723227601462549
2020-04-17,23.3,0.01792309773616525
2020-04-18,22.914285714285715,0.02644452376053813
2020-04-19,24.5625,0.04163273997955864
2020-04-20,24.95,0.023128717465968708
2020-04-21,26.8,0.008649491858268394
2020-04-22,29.65,0.005952332824621167
2020-04-23,28.37142857142857,0.02739769988360462
2020-04-24,29.96,0.019154412558842284
2020-04-25,22.25,0.012137425143235082
2020-04-26,22.3,0.008161230610684002
2020-04-27,27.600000000000005,0.022942809928915772
2020-04-28,32.199999999999996,0.015413935478961882
2020-04-29,27.666666666666668,0.007379796009694745
2020-04-30,26.17142857142857,0.007166835348199206
2020-05-01,29.52857142857143,0.0047550470609950225
2020-05-02,30.525000000000002,0.03128268506520934
